,betweenness,closeness centrality,clustering coefficient,degree centrality,eigenvector centrality,label,n_bills,party,photo,url,modularity_class
65,0,0,0.236111111,0.083333333,1.63E-41,Ofer Shelah,80,Yesh Atid,photos/Shelach_Ofer.jpg,https://oknesset.org/member/900,1
66,0,0,0,0.009259259,1.63E-41,Ofir Akunis,7,Likud,photos/akunis_ofir.jpg,https://oknesset.org/member/830,1
67,0.001383281,0.115384615,0.321052632,0.185185185,1.39E-29,Omer Barlev,104,Zionist Union,photos/BarLev_Omer.jpg,https://oknesset.org/member/866,1
68,0.00088231,0.204166667,0.313186813,0.12962963,4.78E-22,Oren Asaf Hazan,52,Likud,photos/Hazan_Oren.jpg,https://oknesset.org/member/924,0
69,0,0,0.233333333,0.194444444,1.63E-41,Orly Levi-Abekasis,158,Yisrael Beiteinu,photos/Levy_Orli.jpg,https://oknesset.org/member/832,1
70,0,0,0.357142857,0.064814815,1.63E-41,Osama Saadi,71,Joint List,photos/Saadi_Osama.jpg,https://oknesset.org/member/937,2
71,0.000180282,0.020833333,0.266666667,0.055555556,1.87E-36,Rachel Azaria,28,Kulanu,photos/Azaria_Rachel.jpg,https://oknesset.org/member/939,0
72,0.000594414,0.078431373,0.209090909,0.101851852,1.19E-33,Revital Swid,37,Zionist Union,photos/Swid_Revital.jpg,https://oknesset.org/member/935,0
73,0,0,0.177777778,0.092592593,1.63E-41,Robert Ilatov,100,Yisrael Beiteinu,photos/ilatov_robert.jpg,https://oknesset.org/member/793,0
74,0,0,0.30952381,0.064814815,1.63E-41,Roy Folkman,77,Kulanu,photos/Folkman_Roy.jpg,https://oknesset.org/member/941,0
75,0,0,0,0,1.63E-41,Sharren  Haskel,3,Likud,photos/sharren_haskel.jpg,https://oknesset.org/member/950,0
76,0.006144121,0.280661809,0.241820768,0.351851852,4.87E-22,Shelly Yachimovich,155,Zionist Union,photos/yacimovich_shelly.jpg,https://oknesset.org/member/782,1
77,0.001433932,0.130208333,0.346153846,0.12962963,1.47E-25,Shuli Moalem-Refaeli,69,The Jewish Home,photos/Moalem_Shuli.jpg,https://oknesset.org/member/879,1
78,0.00011538,0.018518519,0.30952381,0.064814815,1.56E-38,Sofa Landver,51,Yisrael Beiteinu,photos/landver_sofa.jpg,https://oknesset.org/member/78,0
79,0.005197489,0.242865817,0.221505376,0.287037037,9.05E-24,Stav Shafir,95,Zionist Union,photos/Shafir_Stav.jpg,https://oknesset.org/member/903,1
80,0,0,0,0.009259259,1.63E-41,Talab Abu Arar,24,Joint List,photos/AbuArar_Talab.jpg,https://oknesset.org/member/857,2
81,0.00163366,0.152647975,0.290441176,0.157407407,4.69E-22,Tali Ploskov,87,Kulanu,photos/Ploskov_Tali.jpg,https://oknesset.org/member/942,0
82,0,0,0.272307692,0.240740741,1.63E-41,Tamar Zandberg,300,Meretz,photos/Zandberg_Tamar.jpg,https://oknesset.org/member/871,1
83,0,0,0,0,1.63E-41,Tzachi Hanegbi,1,Likud,photos/hanegbi_tzahi.jpg,https://oknesset.org/member/45,1
84,0,0.21340388,0.340909091,0.111111111,2.31E-20,Tzipi Hotovely,26,Likud,photos/Hotovely_Tzipi.jpg,https://oknesset.org/member/825,1
85,0,0,0,0.009259259,1.63E-41,Tzipi Livni,12,Zionist Union,photos/livnee_zipi.jpg,https://oknesset.org/member/213,1
86,0.001824621,0.135449735,0.277777778,0.166666667,1.47E-25,Uri Maklev,167,United Torah Judaism,photos/uri_maklev.jpg,https://oknesset.org/member/814,1
87,0,0.206422693,0.428571429,0.064814815,4.13E-17,Uri Yehuda Ariel,22,The Jewish Home,photos/ariel_uri-yehuda.jpg,https://oknesset.org/member/713,1
88,0,0,0.177777778,0.092592593,1.63E-41,Yaakov Perry,67,Yesh Atid,photos/Peri_Yaakov.jpg,https://oknesset.org/member/887,0
89,0,0,0.267857143,0.074074074,1.63E-41,Yael German,62,Yesh Atid,photos/German_Yael.jpg,https://oknesset.org/member/868,0
90,0,0.074074074,0.017857143,0.074074074,1.91E-36,Yair Lapid,21,Yesh Atid,photos/Lapid_Yair.jpg,https://oknesset.org/member/878,0
91,0,0,0,0.009259259,1.63E-41,Yakov Litzman,13,United Torah Judaism,photos/lizman_yaakov.jpg,https://oknesset.org/member/216,1
92,0.015807613,0.271934556,0.233333333,0.277777778,3.06E-15,Yakov Margi,114,Shas,photos/margi_yaakov.jpg,https://oknesset.org/member/751,0
93,0.000353352,0.551470588,0.145390071,0.444444444,0.046647832,Yariv Levin,82,Likud,photos/levin_yariv.jpg,https://oknesset.org/member/826,1
94,0,0,0,0,1.63E-41,Yaron Mazuz,3,Likud,photos/mazuz_yaron.jpg,https://oknesset.org/member/931,1
95,0.000430615,0.045977011,0.25,0.148148148,1.43E-31,Yehiel Hilik Bar,127,Zionist Union,photos/Bar_Yechiel.jpg,https://oknesset.org/member/865,0
96,0.000156587,0.009259259,0.277777778,0.092592593,7.80E-39,Yifat Shasha-Biton,66,Kulanu,photos/Shasha-Biton_Yifat.jpg,https://oknesset.org/member/946,0
97,0,0.182622874,0.5,0.018518519,1.03E-13,Yitzhak Cohen,12,Shas,photos/cohen_yitzhak.jpg,https://oknesset.org/member/65,1
